gene,ensembl_id,span_kb,whole_cell_CPM,nuclear_CPM,ratio,exonic_kb,intronic_kb,intron_fraction
Arv1,ENSMUSG00000031982,19.387,6.4687,15.9284,2.4624,1.652,17.735,0.9148
Fgd2,ENSMUSG00000024013,19.39,0.2424,1.4032,5.7891,4.507,14.883,0.7676
Ccsap,ENSMUSG00000031971,19.394,5.6329,4.6705,0.8292,2.767,16.627,0.8573
Iqcd,ENSMUSG00000029601,19.395,0.445,1.3574,3.0501,1.68,17.715,0.9134
Shisa5,ENSMUSG00000025647,19.396,80.971,31.71,0.3916,3.297,16.099,0.83
Metrnl,ENSMUSG00000039208,19.4,9.8391,3.6638,0.3724,1.586,17.814,0.9182
Arhgef19,ENSMUSG00000028919,19.408,8.2789,7.3946,0.8932,4.242,15.166,0.7814
Hspa8,ENSMUSG00000015656,19.409,973.1665,392.1429,0.403,4.301,15.108,0.7784
Dtd2,ENSMUSG00000020956,19.414,15.7471,14.2771,0.9066,3.108,16.306,0.8399
Fgl2,ENSMUSG00000039899,19.415,1.5572,0.248,0.1593,3.788,15.627,0.8049
Rnasel,ENSMUSG00000066800,19.421,20.6741,33.4048,1.6158,6.641,12.78,0.6581
Clec4a3,ENSMUSG00000043832,19.427,0.112,0.313,2.7957,1.327,18.1,0.9317
9330159F19Rik,ENSMUSG00000004360,19.429,64.8589,83.6015,1.289,5.767,13.662,0.7032
Mars1,ENSMUSG00000040354,19.432,9.201,11.9133,1.2948,3.423,16.009,0.8238
Dhrs2,ENSMUSG00000022209,19.435,1.5809,1.0293,0.6511,1.268,18.167,0.9348
Csf1,ENSMUSG00000014599,19.442,14.9129,12.8898,0.8643,5.281,14.161,0.7284
Zfp40,ENSMUSG00000002617,19.455,11.3635,57.7092,5.0785,4.482,14.973,0.7696
Mat1a,ENSMUSG00000037798,19.458,0.1044,0.2811,2.6923,3.468,15.99,0.8218
Mfsd9,ENSMUSG00000041945,19.458,9.0095,5.4565,0.6056,5.125,14.333,0.7366
Nrbf2,ENSMUSG00000075000,19.462,9.8173,13.4883,1.3739,1.86,17.602,0.9044
Mtif2,ENSMUSG00000020459,19.472,15.707,61.6124,3.9226,3.868,15.604,0.8014
Impa1,ENSMUSG00000027531,19.483,65.4996,33.6154,0.5132,5.437,14.046,0.7209
4930438A08Rik,ENSMUSG00000069873,19.49,0.1815,1.7122,9.4336,2.093,17.397,0.8926
Elac1,ENSMUSG00000036941,19.491,19.2467,15.1482,0.7871,4.971,14.52,0.745
Fuca2,ENSMUSG00000019810,19.495,42.2276,20.6545,0.4891,6.161,13.334,0.684
Clcn4,ENSMUSG00000000605,19.502,124.3714,73.7069,0.5926,8.575,10.927,0.5603
Srsf10,ENSMUSG00000028676,19.505,69.5631,39.3226,0.5653,7.003,12.502,0.641
Adck5,ENSMUSG00000022550,19.511,9.7011,8.6924,0.896,3.633,15.878,0.8138
Mcee,ENSMUSG00000033429,19.521,53.6388,27.4653,0.512,0.956,18.565,0.951
Flywch1,ENSMUSG00000040097,19.521,300.6563,178.1644,0.5926,4.266,15.255,0.7815
Trim17,ENSMUSG00000036964,19.526,1.7044,11.2643,6.6089,3.736,15.79,0.8087
Rita1,ENSMUSG00000029600,19.527,20.8199,10.2053,0.4902,2.836,16.691,0.8548
Ccdc157,ENSMUSG00000051427,19.536,8.9569,8.8125,0.9839,5.589,13.947,0.7139
Mvk,ENSMUSG00000041939,19.536,54.0585,31.4297,0.5814,2.675,16.861,0.8631
Tmem106b,ENSMUSG00000029571,19.537,63.7236,54.3007,0.8521,6.931,12.606,0.6452
Mdfi,ENSMUSG00000032717,19.54,0.1926,0.2269,1.1781,3.092,16.448,0.8418
Psmc2,ENSMUSG00000028932,19.542,54.0182,62.3241,1.1538,5.031,14.511,0.7426
Zfp82,ENSMUSG00000098022,19.545,0.4476,1.3036,2.9124,6.041,13.504,0.6909
Ccdc47,ENSMUSG00000078622,19.55,77.0301,73.9701,0.9603,6.414,13.136,0.6719
Mr1,ENSMUSG00000026471,19.558,2.9529,2.5821,0.8744,5.981,13.577,0.6942
Itga2b,ENSMUSG00000034664,19.558,13.016,4.4476,0.3417,5.454,14.104,0.7211
Grap,ENSMUSG00000004837,19.559,0.4975,0.9984,2.0068,1.793,17.766,0.9083
Nup85,ENSMUSG00000020739,19.566,7.4182,11.3928,1.5358,3.385,16.181,0.827
Ints11,ENSMUSG00000029034,19.568,10.9223,14.1228,1.293,3.067,16.501,0.8433
Zfp473,ENSMUSG00000048012,19.57,0.3433,0.6498,1.893,10.037,9.533,0.4871
Ak2,ENSMUSG00000028792,19.571,40.2911,27.0177,0.6706,2.14,17.431,0.8907
Atp8b3,ENSMUSG00000003341,19.572,4.6125,3.1534,0.6837,4.713,14.859,0.7592
Bcat2,ENSMUSG00000030826,19.575,25.197,27.0058,1.0718,3.9,15.675,0.8008
Rragc,ENSMUSG00000028646,19.576,94.751,51.1095,0.5394,3.341,16.235,0.8293
St6galnac2,ENSMUSG00000057286,19.584,1.655,2.7449,1.6586,5.79,13.794,0.7044
Slc4a3,ENSMUSG00000006576,19.59,29.7463,39.7388,1.3359,8.599,10.991,0.5611
Capn10,ENSMUSG00000026270,19.599,29.4496,20.3521,0.6911,4.346,15.253,0.7783
Osbpl7,ENSMUSG00000038534,19.607,11.1562,17.7085,1.5873,5.907,13.7,0.6987
Zfp595,ENSMUSG00000057842,19.609,1.297,2.0809,1.6043,5.44,14.169,0.7226
Sall4,ENSMUSG00000027547,19.611,2.4156,1.2916,0.5347,5.536,14.075,0.7177
Ankrd13b,ENSMUSG00000037907,19.613,26.8612,35.4095,1.3182,3.839,15.774,0.8043
Tnip2,ENSMUSG00000059866,19.616,4.7492,8.2979,1.7472,2.685,16.931,0.8631
Anapc16,ENSMUSG00000020107,19.617,91.7174,39.9868,0.436,4.89,14.727,0.7507
Zfp2,ENSMUSG00000049321,19.63,18.6193,22.0763,1.1857,4.019,15.611,0.7953
Rbm45,ENSMUSG00000042369,19.632,3.8702,14.4117,3.7238,1.898,17.734,0.9033
Prr11,ENSMUSG00000020493,19.632,1.3544,2.7888,2.0591,3.824,15.808,0.8052
Slc15a3,ENSMUSG00000024737,19.635,0.4443,1.4065,3.1655,5.491,14.144,0.7203
Kcnh4,ENSMUSG00000035355,19.635,0.3121,1.1501,3.6847,3.954,15.681,0.7986
Ggnbp1,ENSMUSG00000048731,19.637,1.3913,1.292,0.9287,5.705,13.932,0.7095
Nup50,ENSMUSG00000016619,19.638,21.7375,27.1679,1.2498,4.894,14.744,0.7508
Cyb561,ENSMUSG00000019590,19.64,48.7719,18.7266,0.384,3.653,15.987,0.814
Cep57,ENSMUSG00000031922,19.641,11.1288,15.3736,1.3814,4.18,15.461,0.7872
Gorab,ENSMUSG00000040124,19.651,7.3936,7.761,1.0497,2.855,16.796,0.8547
Mrps5,ENSMUSG00000027374,19.654,52.9952,34.7859,0.6564,6.578,13.076,0.6653
Fads3,ENSMUSG00000024664,19.675,46.8727,26.1157,0.5572,3.792,15.883,0.8073
Ints15,ENSMUSG00000039244,19.678,15.154,8.6441,0.5704,4.639,15.039,0.7643
Mtch2,ENSMUSG00000027282,19.678,137.8283,83.0805,0.6028,8.49,11.188,0.5686
Nos3,ENSMUSG00000028978,19.688,8.6825,5.1848,0.5972,4.132,15.556,0.7901
Rbm17,ENSMUSG00000037197,19.694,52.2145,33.5854,0.6432,2.405,17.289,0.8779
Frg1,ENSMUSG00000031590,19.697,25.3157,37.3735,1.4763,1.673,18.024,0.9151
Chmp7,ENSMUSG00000034190,19.703,50.6752,22.9943,0.4538,6.302,13.401,0.6802
Calr3,ENSMUSG00000019732,19.705,3.0735,4.435,1.443,1.962,17.743,0.9004
Fkbp14,ENSMUSG00000038074,19.713,17.0416,17.0845,1.0025,4.149,15.564,0.7895
Nup54,ENSMUSG00000034826,19.713,15.2984,16.5298,1.0805,3.328,16.385,0.8312
Dctn6,ENSMUSG00000031516,19.715,103.6067,63.9477,0.6172,2.853,16.862,0.8553
Hsd17b7,ENSMUSG00000026675,19.72,87.7405,29.9646,0.3415,5.104,14.616,0.7412
Trmu,ENSMUSG00000022386,19.74,6.932,10.2883,1.4842,3.974,15.766,0.7987
Sccpdh,ENSMUSG00000038936,19.744,120.8653,58.2828,0.4822,7.562,12.182,0.617
Zfp87,ENSMUSG00000097333,19.745,8.4867,3.4268,0.4038,2.865,16.88,0.8549
Mcm3,ENSMUSG00000041859,19.745,0.3105,0.1817,0.5852,3.752,15.993,0.81
Phykpl,ENSMUSG00000020359,19.749,3.5278,16.879,4.7846,9.699,10.05,0.5089
Ifi204,ENSMUSG00000073489,19.751,0.1579,0.5717,3.6216,3.561,16.19,0.8197
Vcam1,ENSMUSG00000027962,19.757,2.0387,1.8184,0.8919,8.87,10.887,0.551
Bbs1,ENSMUSG00000006464,19.77,12.5851,12.6558,1.0056,7.674,12.096,0.6118
Dusp11,ENSMUSG00000030002,19.774,33.285,90.2374,2.7111,8.754,11.02,0.5573
Sdc4,ENSMUSG00000017009,19.782,36.1467,11.4384,0.3164,2.547,17.235,0.8712
Pdzd7,ENSMUSG00000074818,19.782,1.7556,4.786,2.7261,4.055,15.727,0.795
Cep55,ENSMUSG00000024989,19.787,0.3066,0.5537,1.8061,2.905,16.882,0.8532
Skic8,ENSMUSG00000061559,19.797,28.1802,25.0754,0.8898,4.669,15.128,0.7642
Clk3,ENSMUSG00000032316,19.806,33.7306,33.2535,0.9859,8.45,11.356,0.5734
Zswim9,ENSMUSG00000070814,19.814,12.9919,16.6846,1.2842,11.874,7.94,0.4007
Eif4h,ENSMUSG00000040731,19.825,180.6038,84.5171,0.468,5.551,14.274,0.72
Ldaf1,ENSMUSG00000030917,19.827,22.5692,6.4575,0.2861,1.962,17.865,0.901
Hcn2,ENSMUSG00000020331,19.828,38.5613,51.3313,1.3312,3.195,16.633,0.8389
Mrps31,ENSMUSG00000031533,19.832,7.7784,16.99,2.1843,3.291,16.541,0.8341
Inhba,ENSMUSG00000041324,19.833,1.8831,3.0775,1.6343,6.39,13.443,0.6778
Rnf4,ENSMUSG00000029110,19.833,56.1263,34.339,0.6118,7.287,12.546,0.6326
Rnd3,ENSMUSG00000017144,19.842,17.0123,11.885,0.6986,4.432,15.41,0.7766
Rnf122,ENSMUSG00000039328,19.842,14.7113,8.2765,0.5626,9.012,10.83,0.5458
Tmem237,ENSMUSG00000038079,19.847,30.7956,29.6159,0.9617,2.389,17.458,0.8796
Rbm48,ENSMUSG00000040302,19.848,8.144,8.6696,1.0645,3.071,16.777,0.8453
Snrpd3,ENSMUSG00000020180,19.849,98.2163,51.7614,0.527,3.442,16.407,0.8266
Eif5a,ENSMUSG00000078812,19.854,494.1647,128.1121,0.2592,2.377,17.477,0.8803
Gpn1,ENSMUSG00000064037,19.858,22.268,15.9443,0.716,7.846,12.012,0.6049
Gga3,ENSMUSG00000020740,19.864,37.9332,31.9087,0.8412,6.245,13.619,0.6856
Gbp7,ENSMUSG00000040253,19.866,11.0005,6.384,0.5803,5.614,14.252,0.7174
Adal,ENSMUSG00000027259,19.867,9.9892,12.6965,1.271,5.317,14.55,0.7324
Elmod2,ENSMUSG00000035151,19.868,19.5018,23.173,1.1883,11.138,8.73,0.4394
Man1b1,ENSMUSG00000036646,19.874,46.9521,42.8902,0.9135,5.391,14.483,0.7287
Mex3c,ENSMUSG00000037253,19.877,42.9776,32.4123,0.7542,3.738,16.139,0.8119
Map6d1,ENSMUSG00000041205,19.907,2.0166,2.3895,1.1849,3.28,16.627,0.8352
Asb13,ENSMUSG00000033781,19.908,15.8236,17.2001,1.087,5.395,14.513,0.729
Pgbd1,ENSMUSG00000055313,19.91,0.8093,2.0246,2.5017,3.637,16.273,0.8173
Cox15,ENSMUSG00000040018,19.919,11.9442,8.9969,0.7532,4.909,15.01,0.7536
Sh3gl1,ENSMUSG00000003200,19.924,20.8025,40.3715,1.9407,5.012,14.912,0.7484
Isoc2a,ENSMUSG00000086784,19.925,5.2295,4.6893,0.8967,2.244,17.681,0.8874
Pex13,ENSMUSG00000020283,19.929,25.7704,29.1287,1.1303,4.644,15.285,0.767
Polr1e,ENSMUSG00000028318,19.93,4.5368,3.3619,0.741,3.897,16.033,0.8045
Mbip,ENSMUSG00000021028,19.932,10.4027,29.7371,2.8586,1.69,18.242,0.9152
Nkain4,ENSMUSG00000027574,19.953,6.4867,2.7596,0.4254,1.239,18.714,0.9379
Psmc6,ENSMUSG00000021832,19.954,91.2923,127.0792,1.392,3.498,16.456,0.8247
Dus1l,ENSMUSG00000025155,19.955,15.1941,16.746,1.1021,3.758,16.197,0.8117
Ccdc61,ENSMUSG00000074358,19.963,4.903,9.9733,2.0341,2.737,17.226,0.8629
Actr1a,ENSMUSG00000025228,19.963,193.6328,119.4678,0.617,4.32,15.643,0.7836
Gpr179,ENSMUSG00000070337,19.968,1.1666,1.5063,1.2913,9.542,10.426,0.5221
Ube2s,ENSMUSG00000060860,19.968,28.5621,14.6899,0.5143,5.141,14.827,0.7425
Slc16a1,ENSMUSG00000032902,19.969,19.124,10.7443,0.5618,4.426,15.543,0.7784
Parvg,ENSMUSG00000022439,19.971,0.2085,2.1746,10.4283,3.09,16.881,0.8453
Csf3r,ENSMUSG00000028859,19.974,0.1587,0.3767,2.3742,3.609,16.365,0.8193
Comt,ENSMUSG00000000326,19.974,64.0364,85.1861,1.3303,2.532,17.442,0.8732
Ubr7,ENSMUSG00000041712,19.974,15.494,19.2384,1.2417,3.261,16.713,0.8367
Cltb,ENSMUSG00000047547,19.979,335.8222,160.5735,0.4782,4.868,15.111,0.7563
Abca2,ENSMUSG00000026944,19.984,84.5031,50.8254,0.6015,8.346,11.638,0.5824
Slc35a5,ENSMUSG00000022664,19.986,71.7023,31.1507,0.4344,8.105,11.881,0.5945
Btf3l4,ENSMUSG00000028568,19.994,32.253,22.0025,0.6822,4.546,15.448,0.7726
Med17,ENSMUSG00000031935,19.995,10.0487,21.6628,2.1558,4.23,15.765,0.7884
Dclre1a,ENSMUSG00000025077,19.997,3.4794,5.6385,1.6205,6.405,13.592,0.6797
Gnpda2,ENSMUSG00000029209,19.999,51.4203,35.6508,0.6933,6.862,13.137,0.6569
Creb3,ENSMUSG00000028466,20.008,23.4673,20.2537,0.8631,2.314,17.694,0.8843
Shc2,ENSMUSG00000020312,20.009,67.7341,59.6082,0.88,5.426,14.583,0.7288
Meig1,ENSMUSG00000026650,20.014,3.4211,0.1746,0.051,1.102,18.912,0.9449
Rbm12,ENSMUSG00000089824,20.02,11.9836,9.1242,0.7614,6.689,13.331,0.6659
Lrrc42,ENSMUSG00000028617,20.029,12.7545,23.402,1.8348,2.139,17.89,0.8932
Fbxl3,ENSMUSG00000022124,20.03,57.1249,56.3565,0.9865,5.103,14.927,0.7452
Rmdn3,ENSMUSG00000070730,20.036,18.9305,23.0528,1.2178,3.537,16.499,0.8235
Fcsk,ENSMUSG00000033703,20.039,4.1824,6.3366,1.5151,6.255,13.784,0.6879
Slc45a3,ENSMUSG00000026435,20.041,28.7968,13.2048,0.4586,3.563,16.478,0.8222
Tmem53,ENSMUSG00000048772,20.046,17.0027,13.3324,0.7841,1.713,18.333,0.9145
Cenpn,ENSMUSG00000031756,20.055,1.5,3.4128,2.2752,3.294,16.761,0.8358
Tnfrsf23,ENSMUSG00000037613,20.065,2.2088,1.8088,0.8189,3.962,16.103,0.8025
4930453N24Rik,ENSMUSG00000059920,20.066,18.1532,13.8421,0.7625,5.948,14.118,0.7036
Rcn2,ENSMUSG00000032320,20.07,65.9955,58.7688,0.8905,4.745,15.325,0.7636
Zfp276,ENSMUSG00000001065,20.071,5.72,7.6856,1.3436,5.53,14.541,0.7245
Trappc6b,ENSMUSG00000020993,20.074,223.7192,92.1155,0.4117,2.419,17.655,0.8795
Hid1,ENSMUSG00000034586,20.075,53.8598,24.7302,0.4592,4.595,15.48,0.7711
Traf1,ENSMUSG00000026875,20.075,0.87,1.2081,1.3887,8.819,11.256,0.5607
Gm7233,ENSMUSG00000094151,20.075,0.2145,0.1009,0.4702,2.361,17.714,0.8824
Zfp940,ENSMUSG00000050855,20.08,2.6115,5.8011,2.2213,6.09,13.99,0.6967
Cutc,ENSMUSG00000025193,20.081,4.2719,5.8348,1.3659,1.422,18.659,0.9292
Wnt11,ENSMUSG00000015957,20.083,0.1793,0.3473,1.9375,4.137,15.946,0.794
Calr4,ENSMUSG00000028558,20.086,0.5974,0.8161,1.3662,2.522,17.564,0.8744
Ptch2,ENSMUSG00000028681,20.088,0.1628,1.4348,8.8136,5.974,14.114,0.7026
Mcm5,ENSMUSG00000005410,20.091,1.456,0.8774,0.6026,3.993,16.098,0.8013
Fahd2a,ENSMUSG00000027371,20.093,11.8687,12.0621,1.0163,1.463,18.63,0.9272
Npr2,ENSMUSG00000028469,20.097,67.1685,69.876,1.0403,4.667,15.43,0.7678
Adcy6,ENSMUSG00000022994,20.103,6.0607,11.1644,1.8421,6.782,13.321,0.6626
Gemin8,ENSMUSG00000040621,20.114,2.0311,4.6993,2.3137,2.487,17.627,0.8764
Lactb,ENSMUSG00000032370,20.115,10.5446,19.7815,1.876,2.036,18.079,0.8988
Mtss2,ENSMUSG00000033763,20.118,43.4464,33.0552,0.7608,5.311,14.807,0.736
Endov,ENSMUSG00000039850,20.123,16.1439,22.2455,1.378,6.138,13.985,0.695
Kmt2b,ENSMUSG00000006307,20.131,17.7647,36.5923,2.0598,9.596,10.535,0.5233
Cyb5d2,ENSMUSG00000057778,20.132,20.7091,14.8177,0.7155,5.143,14.989,0.7445
Ahsa2,ENSMUSG00000020288,20.133,55.4734,40.1025,0.7229,4.532,15.601,0.7749
Polg,ENSMUSG00000039176,20.136,20.2099,23.8538,1.1803,10.742,9.394,0.4665
Dpep1,ENSMUSG00000019278,20.142,0.272,0.2025,0.7444,2.486,17.656,0.8766
Nacc1,ENSMUSG00000001910,20.142,50.1586,40.2706,0.8029,4.673,15.469,0.768
Tmem263,ENSMUSG00000060935,20.147,30.3865,23.3694,0.7691,4.014,16.133,0.8008
Rbck1,ENSMUSG00000027466,20.153,73.0843,38.5865,0.528,4.601,15.552,0.7717
Cog1,ENSMUSG00000018661,20.159,27.6442,26.52,0.9593,4.987,15.172,0.7526
Ttc5,ENSMUSG00000006288,20.167,17.8443,25.8478,1.4485,4.065,16.102,0.7984
Nudt2,ENSMUSG00000028443,20.171,30.2895,14.1791,0.4681,0.845,19.326,0.9581
Tbc1d20,ENSMUSG00000027465,20.172,28.8466,25.031,0.8677,4.171,16.001,0.7932
Mief1,ENSMUSG00000022412,20.173,25.4346,30.9489,1.2168,8.106,12.067,0.5982
Cdkn2a,ENSMUSG00000044303,20.182,0.1992,0.7942,3.9876,1.172,19.01,0.9419
Osgep,ENSMUSG00000006289,20.194,25.5299,19.2446,0.7538,4.933,15.261,0.7557
Zwint,ENSMUSG00000019923,20.202,772.0555,292.8218,0.3793,4.434,15.768,0.7805
Pcmtd2,ENSMUSG00000027589,20.207,37.8131,102.4377,2.7091,4.183,16.024,0.793
Sh3bp5l,ENSMUSG00000013646,20.208,89.4183,42.6232,0.4767,6.352,13.856,0.6857
Meltf,ENSMUSG00000022780,20.21,0.2099,0.2881,1.3729,4.133,16.077,0.7955
Patz1,ENSMUSG00000020453,20.211,19.0408,24.271,1.2747,5.904,14.307,0.7079
Mthfd2,ENSMUSG00000005667,20.217,51.689,23.5708,0.456,3.487,16.73,0.8275
Jak3,ENSMUSG00000031805,20.218,1.1499,2.8614,2.4884,5.352,14.866,0.7353
Zfp251,ENSMUSG00000022526,20.223,24.2135,28.4757,1.176,4.387,15.836,0.7831
Tra2a,ENSMUSG00000029817,20.224,68.0109,185.9761,2.7345,6.945,13.279,0.6566
Fuca1,ENSMUSG00000028673,20.231,26.6805,21.1838,0.794,3.276,16.955,0.8381
Snrnp70,ENSMUSG00000063511,20.239,94.0134,304.2326,3.2361,7.618,12.621,0.6236
Cd33,ENSMUSG00000004609,20.241,0.1843,0.117,0.6349,7.771,12.47,0.6161
Tars2,ENSMUSG00000028107,20.249,15.9383,25.1463,1.5777,6.932,13.317,0.6577
Mettl22,ENSMUSG00000039345,20.249,21.6317,16.7949,0.7764,5.768,14.481,0.7151
Zfp367,ENSMUSG00000044934,20.259,17.9157,12.1368,0.6774,5.514,14.745,0.7278
Traf7,ENSMUSG00000052752,20.262,17.2544,14.9819,0.8683,5.872,14.39,0.7102
Fkbp1a,ENSMUSG00000032966,20.269,1107.4985,272.6171,0.2462,3.857,16.412,0.8097
Esd,ENSMUSG00000021996,20.269,108.9942,63.0931,0.5789,3.366,16.903,0.8339
Pctp,ENSMUSG00000020553,20.269,12.3679,5.7661,0.4662,2.723,17.546,0.8657
Avil,ENSMUSG00000025432,20.285,198.7492,232.1384,1.168,3.398,16.887,0.8325
Stkld1,ENSMUSG00000049897,20.306,0.2124,0.4592,2.1622,2.191,18.115,0.8921
Pard6b,ENSMUSG00000044641,20.32,3.839,4.12,1.0732,3.399,16.921,0.8327
Zfp316,ENSMUSG00000046658,20.325,11.8356,14.5857,1.2324,7.526,12.799,0.6297
Fbxo46,ENSMUSG00000050428,20.326,3.5932,6.3465,1.7662,4.936,15.39,0.7572
Otud3,ENSMUSG00000041161,20.341,6.9882,10.3142,1.4759,1.668,18.673,0.918
Pgrmc2,ENSMUSG00000049940,20.343,77.9847,60.8712,0.7806,3.242,17.101,0.8406
Etnppl,ENSMUSG00000019232,20.344,0.139,0.6537,4.7045,8.262,12.082,0.5939
Apod,ENSMUSG00000022548,20.345,15.106,81.5254,5.3969,2.577,17.768,0.8733
Plbd2,ENSMUSG00000029598,20.347,96.4046,49.0114,0.5084,6.62,13.727,0.6746
Trmt10b,ENSMUSG00000035601,20.351,12.9044,17.4139,1.3495,2.641,17.71,0.8702
Nt5c3b,ENSMUSG00000017176,20.354,23.1304,14.5961,0.631,3.42,16.934,0.832
Plek2,ENSMUSG00000021118,20.359,1.5554,0.8526,0.5482,1.583,18.776,0.9222
Zfp729b,ENSMUSG00000058093,20.367,4.165,3.7926,0.9106,4.865,15.502,0.7611
Fem1b,ENSMUSG00000032244,20.368,86.6633,85.0672,0.9816,6.785,13.583,0.6669
Fxr2,ENSMUSG00000018765,20.369,108.1166,97.1543,0.8986,3.766,16.603,0.8151
Suv39h2,ENSMUSG00000026646,20.372,5.0779,3.0296,0.5966,4.41,15.962,0.7835
Ddx27,ENSMUSG00000017999,20.377,12.3096,21.6894,1.762,4.817,15.56,0.7636
Zfp583,ENSMUSG00000030443,20.383,6.6915,7.6004,1.1358,3.146,17.237,0.8457
Cln8,ENSMUSG00000026317,20.385,18.3057,11.3063,0.6176,7.606,12.779,0.6269
Pdia4,ENSMUSG00000025823,20.385,17.5953,16.2783,0.9252,2.399,17.986,0.8823
Vstm5,ENSMUSG00000031937,20.387,44.2883,73.1225,1.6511,1.991,18.396,0.9023
Pwwp3a,ENSMUSG00000020156,20.388,38.0683,34.8223,0.9147,10.361,10.027,0.4918
Mycbpap,ENSMUSG00000039110,20.395,1.7327,7.2036,4.1575,4.096,16.299,0.7992
Phf11b,ENSMUSG00000091649,20.397,2.8201,1.1053,0.3919,1.184,19.213,0.942
Ppil3,ENSMUSG00000026035,20.4,36.6837,17.4784,0.4765,4.291,16.109,0.7897
Ifi47,ENSMUSG00000078920,20.401,0.8237,1.7812,2.1625,2.473,17.928,0.8788
Grk2,ENSMUSG00000024858,20.405,170.8397,126.0074,0.7376,4.476,15.929,0.7806
Eif3c,ENSMUSG00000030738,20.406,118.2167,113.5844,0.9608,3.511,16.895,0.8279
Lmtk3,ENSMUSG00000062044,20.406,10.2482,29.7283,2.9008,5.744,14.662,0.7185
Ncoa4,ENSMUSG00000056234,20.412,54.3381,31.3371,0.5767,9.365,11.047,0.5412
Lsm1,ENSMUSG00000037296,20.416,81.0008,29.2282,0.3608,3.093,17.323,0.8485
Rfc2,ENSMUSG00000023104,20.441,25.4475,19.3923,0.762,6.303,14.138,0.6916
Dhx33,ENSMUSG00000040620,20.442,13.733,13.4993,0.983,10.031,10.411,0.5093
Dipk2a,ENSMUSG00000045414,20.443,25.5891,14.8877,0.5818,3.95,16.493,0.8068
H2-DMa,ENSMUSG00000037649,20.443,11.9684,23.6864,1.9791,3.448,16.995,0.8313
Csrp2,ENSMUSG00000020186,20.446,82.2229,23.3214,0.2836,2.171,18.275,0.8938
Coq2,ENSMUSG00000029319,20.447,128.9074,48.816,0.3787,2.624,17.823,0.8717
Sft2d2,ENSMUSG00000040848,20.448,7.4141,4.51,0.6083,5.702,14.746,0.7211
Plp1,ENSMUSG00000031425,20.452,165.2576,66.1495,0.4003,5.551,14.901,0.7286
Uxt,ENSMUSG00000001134,20.455,13.3893,7.9591,0.5944,1.639,18.816,0.9199
AI987944,ENSMUSG00000056383,20.47,11.3668,8.5738,0.7543,4.009,16.461,0.8042
Crls1,ENSMUSG00000027357,20.487,34.9783,26.1252,0.7469,2.082,18.405,0.8984
Card6,ENSMUSG00000041849,20.488,1.0275,1.9097,1.8585,6.101,14.387,0.7022
Cbx1,ENSMUSG00000018666,20.49,34.1816,42.296,1.2374,4.273,16.217,0.7915
Polr3gl,ENSMUSG00000028104,20.491,28.7133,23.855,0.8308,1.597,18.894,0.9221
Caskin1,ENSMUSG00000033597,20.5,87.8844,80.7129,0.9184,7.566,12.934,0.6309
C330018D20Rik,ENSMUSG00000024592,20.5,4.2004,5.12,1.2189,3.233,17.267,0.8423
Acp6,ENSMUSG00000028093,20.503,3.5963,4.606,1.2808,8.503,12.0,0.5853
Atad3a,ENSMUSG00000029036,20.509,14.6703,23.8437,1.6253,3.765,16.744,0.8164
Tmem39b,ENSMUSG00000053730,20.51,5.0215,15.6981,3.1262,2.286,18.224,0.8885
Zfp780b,ENSMUSG00000063047,20.518,9.6527,18.1341,1.8787,9.18,11.338,0.5526
Snx32,ENSMUSG00000056185,20.52,54.1526,78.2293,1.4446,3.554,16.966,0.8268
Sars1,ENSMUSG00000068739,20.52,91.4119,90.5523,0.9906,5.142,15.378,0.7494
Tyro3,ENSMUSG00000027298,20.524,25.5282,10.7021,0.4192,6.198,14.326,0.698
Tbc1d7,ENSMUSG00000021368,20.53,28.6809,22.1422,0.772,4.042,16.488,0.8031
Osgin1,ENSMUSG00000074063,20.53,0.7888,0.3996,0.5067,2.674,17.856,0.8698
Golga2,ENSMUSG00000002546,20.539,59.2116,41.5859,0.7023,5.5,15.039,0.7322
Nipsnap1,ENSMUSG00000034285,20.539,71.2639,62.1322,0.8719,2.649,17.89,0.871
Ppih,ENSMUSG00000060288,20.539,10.6682,10.5523,0.9891,1.894,18.645,0.9078
Loxl4,ENSMUSG00000025185,20.541,0.3747,1.1344,3.0276,4.213,16.328,0.7949
Tmem143,ENSMUSG00000002781,20.56,15.2123,15.2976,1.0056,7.518,13.042,0.6343
Flrt3,ENSMUSG00000051379,20.562,43.8417,34.7533,0.7927,4.865,15.697,0.7634
Bnip3,ENSMUSG00000078566,20.563,128.0062,46.4435,0.3628,2.265,18.298,0.8899
Wdr82,ENSMUSG00000020257,20.563,36.6114,25.6153,0.6997,6.341,14.222,0.6916
Naaa,ENSMUSG00000029413,20.568,23.5851,19.2395,0.8157,3.721,16.847,0.8191
Ctc1,ENSMUSG00000020898,20.574,11.247,9.7105,0.8634,6.797,13.777,0.6696
Ly6e,ENSMUSG00000022587,20.594,13.6291,8.7668,0.6432,3.782,16.812,0.8164
Sec24c,ENSMUSG00000039367,20.604,38.719,27.2132,0.7028,6.293,14.311,0.6946
Glyat,ENSMUSG00000063683,20.607,0.8336,1.487,1.7839,4.78,15.827,0.768
Aph1c,ENSMUSG00000053040,20.613,5.2707,5.0398,0.9562,5.205,15.408,0.7475
Alg8,ENSMUSG00000035704,20.625,2.9095,13.8491,4.76,2.784,17.841,0.865
