gse,group,verdict,reason,unit,n_samples,n_columns,Oprl1,Oprm1,Oprd1,Oprk1,top_receptor,runner_up,margin,Snap25,Tubb3,Plp1,Sox10,Ptprc,Snap25_over_Plp1,Atf3,Fos,Jun,title,file
GSE184014,,no matrix,no flat matrix; per-sample RAW archive only,,17,,,,,,,,,,,,,,,,,,mTOR-neuropeptide Y signaling sensitizes nociceptors to drive neuropathic pain development,
GSE182575,ISLCKO1_ear,hold,"counts, so an ordering would compare transcript lengths",counts,12,6.0,25.572,0.764,,0.862,Oprl1,Oprk1,29.666,631.087,3918.869,14.365,5.62,5.475,43.9323,1.109,0.895,226.697,ISL1 is an essential determinant of structural and functional tonotopic representation of sound,GSE182575_count_matrix.txt.gz
GSE182575,Control_ear,hold,"counts, so an ordering would compare transcript lengths",counts,12,6.0,27.156,2.839,,0.197,Oprl1,Oprm1,9.565,624.958,3208.147,7.239,2.333,3.347,86.3321,1.779,0.641,182.469,ISL1 is an essential determinant of structural and functional tonotopic representation of sound,GSE182575_count_matrix.txt.gz
GSE202063,,unusable layout,"no gene column, or fewer than 3 sample columns",,8,,,,,,,,,,,,,,,,,,Identification of in vivo roles of ErbB4-JMa and its direct nuclear signaling using a novel isoform-specific knock out mouse,GSE202063_DEseq2_with_mm9.txt.gz
GSE207126,,unusable layout,"no gene column, or fewer than 3 sample columns",,9,,,,,,,,,,,,,,,,,,"RNA sequencing profiling of mRNAs, lncRNAs and circRNAs in Trigeminal Ganglion following Temporomandibular Joint inflammation",GSE207126_transcript_sample_FPKM_mRNA.txt.gz
GSE208282,all,read,,length-normalised,12,12.0,28.858,1.267,1.483,2.252,Oprl1,Oprk1,12.814,1875.791,1014.324,2871.482,109.744,15.541,0.6532,10.499,21.602,30.914,Transcriptome map of dorsal root ganglion and spinal cord in mice with acute herpetic neuralgia induced by HSV-1,GSE208282_All_Samples_Gene_Expression_FPKM.csv.gz
GSE190138,,no matrix,no flat matrix; per-sample RAW archive only,,18,,,,,,,,,,,,,,,,,,Systematic analysis of inflammation and pain pathways in a mouse model of gout,
GSE206043,,unusable layout,"no gene column, or fewer than 3 sample columns",,6,,,,,,,,,,,,,,,,,,NIS-lncRNA promotes  neuropathic pain by increasing Ccl2 expression,GSE206043_GFPvsNIS_Gene_ReadCount.txt.gz
GSE203197,TRPV1_K823R,hold,"counts, so an ordering would compare transcript lengths",counts,4,3.0,17.82,5.465,2.933,1.398,Oprl1,Oprm1,3.261,1208.133,2406.398,483.79,132.672,0.704,2.4972,22.159,6.188,107.964,TRPV1 SUMOylation suppresses itch by inhibiting TRPV1 interaction with H1 receptors,GSE203197_matrix.txt.gz
GSE203197,WT,hold,"counts, so an ordering would compare transcript lengths",counts,4,3.0,18.432,6.088,2.767,1.728,Oprl1,Oprm1,3.028,1326.724,2262.597,371.317,124.5,0.581,3.573,34.708,7.174,105.66,TRPV1 SUMOylation suppresses itch by inhibiting TRPV1 interaction with H1 receptors,GSE203197_matrix.txt.gz
GSE203197,entrez,hold,"Snap25 0.19 below 100 CPM; counts, so an ordering would compare transcript lengths",counts,4,1.0,0.17,0.17,0.17,0.17,Oprl1,Oprm1,1.0,0.19,0.204,0.174,0.191,0.178,1.092,0.11,0.132,0.152,TRPV1 SUMOylation suppresses itch by inhibiting TRPV1 interaction with H1 receptors,GSE203197_matrix.txt.gz
GSE188922,CSp5C,hold,Snap25 75.818 below 100 CPM; Snap25/Plp1 0.022 below 0.05,length-normalised,12,3.0,7.262,0.046,14.929,5.645,Oprd1,Oprl1,2.056,75.818,0.873,3478.152,67.601,0.0,0.0218,1.942,29.844,50.66,Transcriptomic Analysis of Trigeminal Ganglia and Spinal Trigeminal Nucleus Caudalis in Mice with Chronic Inflammatory Temporomandibular Joint Pain,GSE188922_mRNA_FPKM.txt.gz
GSE188922,CTG,hold,Snap25 23.82 below 100 CPM; Snap25/Plp1 0.024 below 0.05,length-normalised,12,3.0,3.039,0.0,10.957,3.249,Oprd1,Oprk1,3.372,23.82,1.033,988.139,160.495,2.063,0.0241,6.478,8.924,118.512,Transcriptomic Analysis of Trigeminal Ganglia and Spinal Trigeminal Nucleus Caudalis in Mice with Chronic Inflammatory Temporomandibular Joint Pain,GSE188922_mRNA_FPKM.txt.gz
GSE188922,SSp5C,hold,Snap25 80.669 below 100 CPM; Snap25/Plp1 0.018 below 0.05,length-normalised,12,3.0,5.454,0.01,15.787,5.98,Oprd1,Oprk1,2.64,80.669,0.0,4603.022,77.111,0.0,0.0175,1.165,26.445,54.504,Transcriptomic Analysis of Trigeminal Ganglia and Spinal Trigeminal Nucleus Caudalis in Mice with Chronic Inflammatory Temporomandibular Joint Pain,GSE188922_mRNA_FPKM.txt.gz
GSE188922,STG,hold,Snap25 21.47 below 100 CPM; Snap25/Plp1 0.021 below 0.05,length-normalised,12,3.0,4.349,4.754,11.465,2.683,Oprd1,Oprm1,2.412,21.47,2.052,1020.785,119.713,0.943,0.021,5.825,11.475,115.976,Transcriptomic Analysis of Trigeminal Ganglia and Spinal Trigeminal Nucleus Caudalis in Mice with Chronic Inflammatory Temporomandibular Joint Pain,GSE188922_mRNA_FPKM.txt.gz
GSE132147,,unusable layout,"no gene column, or fewer than 3 sample columns",,6,,,,,,,,,,,,,,,,,,A Population of Radio-Resistant Macrophages in the Deep Myenteric Plexus Contributes to Postoperative Ileus Via Toll-Like Receptor 3 Signaling,GSE132147_Normalized-processed_RNA-seq_data.txt.gz
GSE182903,,no matrix,no flat matrix; per-sample RAW archive only,,12,,,,,,,,,,,,,,,,,,Identification by RNA-seq of Prdm12 regulated genes in  trigeminal ganglia of adult mice,
GSE182902,,no matrix,no flat matrix; per-sample RAW archive only,,20,,,,,,,,,,,,,,,,,,Identification by RNAsequencing of deregulated genes due to the loss of Prdm12 in dorsal root ganglia of mice in inflammatory condition,
GSE182901,,no matrix,no flat matrix; per-sample RAW archive only,,12,,,,,,,,,,,,,,,,,,Identification by RNA-seq of Prdm12 regulated genes in dorsal root ganglia of adult mice,
GSE166062,,no matrix,no flat matrix; per-sample RAW archive only,,9,,,,,,,,,,,,,,,,,,Identification by RNA-seq of Prdm12 regulated genes in  dorsal root ganglia nociceptors of adult mice,
GSE161342,IPA,read,,length-normalised,12,3.0,24.983,8.017,18.153,2.768,Oprl1,Oprd1,1.376,1581.352,3669.5,366.514,115.962,3.796,4.3146,13.554,4.909,130.461,RNA sequencing of L4-L6 mouse Dorsal Root Ganglia 3 days post sciatic nerve crush and naive following 10 days of Indole-3-propionic acid treatment,GSE161342_FPKMs.txt.gz
GSE161342,IPA.SNC,read,,length-normalised,12,3.0,10.885,4.64,5.764,1.58,Oprl1,Oprd1,1.888,1015.565,5266.678,457.252,115.028,6.871,2.221,579.337,7.088,348.095,RNA sequencing of L4-L6 mouse Dorsal Root Ganglia 3 days post sciatic nerve crush and naive following 10 days of Indole-3-propionic acid treatment,GSE161342_FPKMs.txt.gz
GSE161342,PBS,read,,length-normalised,12,3.0,26.603,11.866,23.041,3.31,Oprl1,Oprd1,1.155,1618.649,3333.616,373.459,109.603,3.849,4.3342,13.811,4.912,120.226,RNA sequencing of L4-L6 mouse Dorsal Root Ganglia 3 days post sciatic nerve crush and naive following 10 days of Indole-3-propionic acid treatment,GSE161342_FPKMs.txt.gz
GSE161342,PBS.SNC,read,,length-normalised,12,3.0,11.117,5.567,6.052,1.61,Oprl1,Oprd1,1.837,996.339,5047.433,472.807,98.917,7.29,2.1073,639.404,6.28,309.638,RNA sequencing of L4-L6 mouse Dorsal Root Ganglia 3 days post sciatic nerve crush and naive following 10 days of Indole-3-propionic acid treatment,GSE161342_FPKMs.txt.gz
GSE159818,,no matrix,no flat matrix; per-sample RAW archive only,,10,,,,,,,,,,,,,,,,,,Long-lasting Analgesia via Targeted in situ Repression of NaV1.7,
GSE149770,ShamOld,read,,length-normalised,9,3.0,22.497,6.033,12.882,1.068,Oprl1,Oprd1,1.746,713.555,4493.373,280.164,95.535,10.181,2.5469,144.08,7.372,115.018,RNA sequencing of whole sciatic Dorsal Root Ganglia (DRG) from young and aged mice,GSE149770_FPKMs.txt.gz
GSE149770,ShamYoung,read,,length-normalised,9,3.0,20.702,5.268,12.892,1.039,Oprl1,Oprd1,1.606,852.063,3809.734,359.612,81.821,3.505,2.3694,80.778,6.893,100.553,RNA sequencing of whole sciatic Dorsal Root Ganglia (DRG) from young and aged mice,GSE149770_FPKMs.txt.gz
GSE149770,SNIOld,read,,length-normalised,9,3.0,12.525,5.458,8.386,0.896,Oprl1,Oprd1,1.494,717.8,4276.246,286.447,86.098,14.808,2.5059,732.437,8.751,237.559,RNA sequencing of whole sciatic Dorsal Root Ganglia (DRG) from young and aged mice,GSE149770_FPKMs.txt.gz
GSE190745,,no matrix,no flat matrix; per-sample RAW archive only,,4,,,,,,,,,,,,,,,,,,Next generation RNA sequencing of embryonic dorsal root ganglions to study the effects of electrical stimulation.,
GSE182318,,no matrix,no flat matrix; per-sample RAW archive only,,10,,,,,,,,,,,,,,,,,,Sexual dimorphism of early transcriptional reprogramming in dorsal root ganglia after peripheral nerve injury,
GSE156031,,unusable layout,"no gene column, or fewer than 3 sample columns",,12,,,,,,,,,,,,,,,,,,Adult enteric Dclk1-positive glial and neuronal cells reveal distinct responses to acute intestinal injury,GSE156031_all_plates_umi_counts.csv.gz
GSE185084,,no matrix,no flat matrix; per-sample RAW archive only,,120,,,,,,,,,,,,,,,,,,Longitudinal RNA sequencing of skin and DRG neurons in mice with paclitaxel-induced peripheral neuropathy,
GSE168601,,no matrix,no flat matrix; per-sample RAW archive only,,16,,,,,,,,,,,,,,,,,,"L3-L5, T10-L1 dorsal root, nodose and trigeminal sensory neuron-selective gene expression",
GSE176059,,no matrix,no flat matrix; per-sample RAW archive only,,6,,,,,,,,,,,,,,,,,,Next-generation sequencing facilitates quantitative analysis of transcriptomes of pro-inflammatory cytokines stimulated mouse dorsal root ganglionic neurons infected with lentivirus expressing GFP or a SNAP-25 cleaving protease,
GSE182978,,unusable layout,"no gene column, or fewer than 3 sample columns",,6,,,,,,,,,,,,,,,,,,Gene expression profiling in a mouse model of spiral ganglion neuron degeneration,GSE182978_Raw_gene_counts_matrix.txt.gz
GSE142096,,unusable layout,"no gene column, or fewer than 3 sample columns",,12,,,,,,,,,,,,,,,,,,Analysis of RNA localization in nucleolin deficient axons,GSE142096_Complete_geneList_EdgeR3.csv.gz
GSE173503,,no matrix,no flat matrix; per-sample RAW archive only,,4,,,,,,,,,,,,,,,,,,"Next-generation sequencing facilitates quantitative analysis of T1-T4 sympathetic ganglia transcriptomes from TRKC+/-, AdNTF3-Tg and their respective wild type control mice after 1 day cold exposure at 5℃",
GSE166738,,no matrix,no flat matrix; per-sample RAW archive only,,12,,,,,,,,,,,,,,,,,,Role of PML in ISG induction in primary postnatal sympathetic neurons,
GSE161878,,unusable layout,"no gene column, or fewer than 3 sample columns",,24,,,,,,,,,,,,,,,,,,The impact of influenza pulmonary infection and inflammation on vagal bronchopulmonary sensory neurons,GSE161878_gene_counts.txt.gz
GSE174551,all,hold,"Snap25 28.635 below 100 CPM; Snap25/Plp1 0.025 below 0.05; counts, so an ordering would compare transcript lengths",counts,12,12.0,33.63,9.109,7.33,4.079,Oprl1,Oprm1,3.692,28.635,2392.218,1126.967,140.23,8.61,0.0254,0.587,9.003,145.847,PACAP Induces Light Aversion in Mice by an Inheritable Mechanism Independent of CGRP,GSE174551_geo_submission_processed_data.txt.gz
GSE173284,,unusable layout,"no gene column, or fewer than 3 sample columns",,10,,,,,,,,,,,,,,,,,,Transcriptional dysregulation in developing trigeminal sensory neurons in the LgDel mouse model of DiGeorge 22q11.2 deletion syndrome.,GSE173284_FPKM_for_LD_WT_TG.csv.gz
GSE153269,,no matrix,no flat matrix; per-sample RAW archive only,,8,,,,,,,,,,,,,,,,,,DRG (dorsal root ganglia) sensory neurons innervating paw and thigh muscle,
GSE135909,,no matrix,no flat matrix; per-sample RAW archive only,,12,,,,,,,,,,,,,,,,,,DRG (dorsal root ganglia) and TG (trigeminal ganglia) fractions enriched with sensory neurons,
GSE161109,,no matrix,no flat matrix; per-sample RAW archive only,,8,,,,,,,,,,,,,,,,,,RNA-Seq data for dorsal root ganglia of RECTAS-treated ELP1/IKBKAP (IVS20+6T>C) transgenic mice,
GSE167468,,unusable layout,"no gene column, or fewer than 3 sample columns",,4,,,,,,,,,,,,,,,,,,"Loss of Prdm12 during development, but not in mature nociceptors, causes defects in pain sensation.",GSE167468_MUT_vs_WT_fpkm_matrix_whole_genome_fpkm_1.txt.gz
GSE164576,,unusable layout,"no gene column, or fewer than 3 sample columns",,6,,,,,,,,,,,,,,,,,,MMP (muscularis myenteric plexus) RNAseq profilings in Germ-free (GF) colons with microbe stimulations,GSE164576_Gene_count_table.csv.gz
GSE161764,,unusable layout,"no gene column, or fewer than 3 sample columns",,8,,,,,,,,,,,,,,,,,,Time-course transcriptomic profiling of C57BL/6 mouse neurons from the dorsal root ganglion before and after a carrageenan injection into the left hind paw,GSE161764_mouse_DRG_WT_timecourse_counts.txt.gz
GSE138769,EESNA,read,,length-normalised,12,3.0,7.019,3.016,3.683,0.487,Oprl1,Oprd1,1.906,642.646,3175.107,324.637,68.777,3.03,1.9796,594.663,9.192,165.48,RNA sequencing of whole Dorsal Root Ganglia (DRG) upon Environmental Enrichment and Sciatic Nerve Axotomy  (EE_SNA) or Sciatic Nerve Axotomy alone (SH_SNA) compared to Standard Housing Sham (SH_Sham),GSE138769_DRG_FPKMs.txt.gz
GSE138769,EESham,read,,length-normalised,12,3.0,14.618,4.36,6.996,0.987,Oprl1,Oprd1,2.089,718.992,3087.026,282.219,58.411,2.047,2.5476,183.573,8.684,104.99,RNA sequencing of whole Dorsal Root Ganglia (DRG) upon Environmental Enrichment and Sciatic Nerve Axotomy  (EE_SNA) or Sciatic Nerve Axotomy alone (SH_SNA) compared to Standard Housing Sham (SH_Sham),GSE138769_DRG_FPKMs.txt.gz
GSE138769,SHSNA,read,,length-normalised,12,3.0,7.099,3.902,3.268,0.601,Oprl1,Oprm1,1.819,619.513,3373.076,322.552,67.165,2.584,1.9207,641.197,7.851,167.851,RNA sequencing of whole Dorsal Root Ganglia (DRG) upon Environmental Enrichment and Sciatic Nerve Axotomy  (EE_SNA) or Sciatic Nerve Axotomy alone (SH_SNA) compared to Standard Housing Sham (SH_Sham),GSE138769_DRG_FPKMs.txt.gz
GSE138769,SHSham,read,,length-normalised,12,3.0,14.901,4.202,6.825,0.754,Oprl1,Oprd1,2.183,737.523,3383.824,290.467,62.484,2.126,2.5391,151.588,9.144,107.054,RNA sequencing of whole Dorsal Root Ganglia (DRG) upon Environmental Enrichment and Sciatic Nerve Axotomy  (EE_SNA) or Sciatic Nerve Axotomy alone (SH_SNA) compared to Standard Housing Sham (SH_Sham),GSE138769_DRG_FPKMs.txt.gz
GSE155676,,no matrix,no flat matrix; per-sample RAW archive only,,16,,,,,,,,,,,,,,,,,,Sex differences in nociceptor translatomes contribute to divergent prostaglandin signaling in male and female mice,
GSE154354,,no matrix,no flat matrix; per-sample RAW archive only,,18,,,,,,,,,,,,,,,,,,Evaluating developmental effects of Tmem184b in dorsal root ganglia,
GSE154316,all,hold,"counts, so an ordering would compare transcript lengths",counts,8,10.0,182.009,272.394,187.942,94.579,Oprm1,Oprd1,1.449,402.413,437.186,311.348,238.631,109.716,1.2925,98.512,104.907,264.483,Comparison of wild type and Tmem184b mutant adult DRG,GSE154316_all.gene_moderated_log2cpm.txt.gz
GSE107159,,no matrix,no flat matrix; per-sample RAW archive only,,18,,,,,,,,,,,,,,,,,,Role of myelin-derived antigens in pain: a female connection,
GSE145216,,no matrix,no flat matrix; per-sample RAW archive only,,4,,,,,,,,,,,,,,,,,,An airway protection program revealed by sweeping genetic control of vagal afferents,
GSE138685,,unusable layout,"no gene column, or fewer than 3 sample columns",,15,,,,,,,,,,,,,,,,,,Novel RvD6 stereoisomer induces corneal nerve regeneration and wound healing post-injury by modulating trigeminal transcriptomic signature,GSE138685_counts.txt.gz
GSE131622,all,hold,"counts, so an ordering would compare transcript lengths",counts,20,20.0,42.68,64.759,46.452,-51.897,Oprm1,Oprd1,1.394,267.379,265.363,150.031,143.923,-48.539,1.7822,-83.326,-60.745,126.283,"E18.5 DRG: Identification of a sacral, visceral sensory transcriptome in embryonic and adult mice",GSE131622_normalized_expression.txt.gz
GSE131621,all,hold,"counts, so an ordering would compare transcript lengths",counts,20,20.0,13.058,136.084,9.434,6.201,Oprm1,Oprl1,10.422,323.998,298.388,228.582,149.46,-111.279,1.4174,234.396,270.19,244.714,"TRPV1 DRG: Identification of a sacral, visceral sensory transcriptome in embryonic and adult mice",GSE131621_normalized_expression.txt.gz
GSE131619,all,hold,"counts, so an ordering would compare transcript lengths",counts,24,8.0,24.272,147.27,62.839,6.758,Oprm1,Oprd1,2.344,409.613,306.347,220.777,183.791,-4.161,1.8553,33.493,-27.377,143.628,"Adult DRG: Identification of a sacral, visceral sensory transcriptome in embryonic and adult mice",GSE131619_normalized_expression.txt.gz
GSE117043,,no matrix,no flat matrix; per-sample RAW archive only,,15,,,,,,,,,,,,,,,,,,Peptides encoded by 5’ untranslated regions mediate pain sensitization,
GSE140309,,no matrix,no flat matrix; per-sample RAW archive only,,17,,,,,,,,,,,,,,,,,,Adrenergic signaling in muscularis macrophages limits infection-induced neuronal loss,
GSE132552,,no matrix,no flat matrix; per-sample RAW archive only,,15,,,,,,,,,,,,,,,,,,Transcriptional changes after spinal cord injury: recruitment of afferents distal to the site of injury,
GSE140292,,unusable layout,"no gene column, or fewer than 3 sample columns",,16,,,,,,,,,,,,,,,,,,Expression analysis of colonic neurons stimulated with AhR agonist (3-methylcholanthrene),GSE140292_p292.count.data.txt.gz
GSE140291,,unusable layout,"no gene column, or fewer than 3 sample columns",,32,,,,,,,,,,,,,,,,,,Expression analysis of enteric neurons from the mice housed in different animal facilities (the Francis Crick institute and the University of Bern),GSE140291_p254.count.data.txt.gz
GSE140290,,unusable layout,"no gene column, or fewer than 3 sample columns",,28,,,,,,,,,,,,,,,,,,Expression analysis of colonic and small intestinal neurons in the germ-free (GF) and specifric pathogen-free (SFP) mice,GSE140290_p238.count.data.txt.gz
GSE132173,,no matrix,no flat matrix; per-sample RAW archive only,,162,,,,,,,,,,,,,,,,,,RNA-seq of tissues from MC903- and Ethanol-treated mice,
GSE132382,,no matrix,no flat matrix; per-sample RAW archive only,,12,,,,,,,,,,,,,,,,,,ATAC sequencing and RNA sequencing of L4-L6 mouse Dorsal Root Ganglia upon dorsal column axotomy plus injection of the histone deacetylase inhibitor MS275,
GSE125002,,no matrix,no flat matrix; per-sample RAW archive only,,9,,,,,,,,,,,,,,,,,,Gene expression signatures of chemotherapy-induced neuropathy induced by cisplatin and oxaliplatin,
GSE125001,,no matrix,no flat matrix; per-sample RAW archive only,,6,,,,,,,,,,,,,,,,,,Gene expression signatures of chemotherapy-induced neuropathy induced by vincristine,
GSE131230,all,hold,Snap25 7.958 below 100 CPM,length-normalised,26,1.0,8.219,0.171,19.673,6.942,Oprd1,Oprl1,2.394,7.958,,11.066,12.187,7.309,0.7191,7.494,3.961,20.418,Deep sequencing of somatosensory neurons reveals molecular determinants of intrinsic physiological properties,GSE131230_rpkm.csv.gz
GSE131230,Nonpeptidergic Nociceptor,read,,length-normalised,26,3.0,1.438,27.862,4.828,0.022,Oprm1,Oprd1,5.771,542.714,,9.411,2.558,0.004,57.668,42.529,101.275,63.003,Deep sequencing of somatosensory neurons reveals molecular determinants of intrinsic physiological properties,GSE131230_rpkm.csv.gz
GSE131230,Peptidergic Nociceptor,read,,length-normalised,26,3.0,4.932,528.76,4.18,4.661,Oprm1,Oprl1,107.21,2555.421,,52.689,12.252,0.002,48.5001,153.806,258.077,189.087,Deep sequencing of somatosensory neurons reveals molecular determinants of intrinsic physiological properties,GSE131230_rpkm.csv.gz
GSE131230,C-LTMR,read,,length-normalised,26,3.0,6.559,118.703,0.747,1.113,Oprm1,Oprl1,18.098,2674.155,,34.803,8.651,0.038,76.8369,75.473,175.925,63.476,Deep sequencing of somatosensory neurons reveals molecular determinants of intrinsic physiological properties,GSE131230_rpkm.csv.gz
GSE131230,Aδ-LTMR,read,,length-normalised,26,3.0,9.162,12.218,1.89,0.179,Oprm1,Oprl1,1.334,2160.199,,45.198,17.923,0.175,47.7941,28.029,126.898,53.091,Deep sequencing of somatosensory neurons reveals molecular determinants of intrinsic physiological properties,GSE131230_rpkm.csv.gz
GSE131230,Aβ RA-LTMR,read,,length-normalised,26,5.0,15.682,2.431,3.69,1.47,Oprl1,Oprd1,4.25,3127.767,,65.789,11.367,0.0,47.5424,29.896,86.712,87.593,Deep sequencing of somatosensory neurons reveals molecular determinants of intrinsic physiological properties,GSE131230_rpkm.csv.gz
GSE131230,Aβ SA1-LTMR,read,,length-normalised,26,3.0,20.526,18.227,17.858,0.663,Oprl1,Oprm1,1.126,4167.243,,37.128,5.655,0.0,112.2399,24.45,79.203,110.028,Deep sequencing of somatosensory neurons reveals molecular determinants of intrinsic physiological properties,GSE131230_rpkm.csv.gz
GSE131230,Aβ Field-LTMR,read,,length-normalised,26,3.0,9.814,19.298,19.169,0.699,Oprm1,Oprd1,1.007,3400.53,,34.665,10.86,0.008,98.0969,20.202,82.54,90.883,Deep sequencing of somatosensory neurons reveals molecular determinants of intrinsic physiological properties,GSE131230_rpkm.csv.gz
GSE131230,Proprioceptor,read,,length-normalised,26,3.0,11.948,4.092,0.837,0.085,Oprl1,Oprm1,2.92,4536.068,,84.269,15.493,0.0,53.8284,49.822,179.342,123.219,Deep sequencing of somatosensory neurons reveals molecular determinants of intrinsic physiological properties,GSE131230_rpkm.csv.gz
GSE125076,,no matrix,no flat matrix; per-sample RAW archive only,,6,,,,,,,,,,,,,,,,,,A mouse model of acute post-surgical pain,
GSE111216,,no matrix,no flat matrix; per-sample RAW archive only,,36,,,,,,,,,,,,,,,,,,Mouse transcriptomics reveals extracellular matrix organization as a major pathway involved in inflammatory and neuropathic pain,
GSE121645,,no matrix,no flat matrix; per-sample RAW archive only,,12,,,,,,,,,,,,,,,,,,Translation Regulation of the Prolactin Receptor Defines Sexually Dimorphic Pain Responses to Prolactin,
GSE110194,,no matrix,no flat matrix; per-sample RAW archive only,,20,,,,,,,,,,,,,,,,,,Comparison between nitroglycerine and vehicle treatments in mouse trigeminal ganglia and nucleus accumbens,
GSE123919,,unusable layout,"no gene column, or fewer than 3 sample columns",,16,,,,,,,,,,,,,,,,,,Translational profiling of dorsal root ganglia and spinal cord in a mouse model of neuropathic pain,GSE123919_readme.txt.gz
GSE110714,,unusable layout,"no gene column, or fewer than 3 sample columns",,6,,,,,,,,,,,,,,,,,,RNA-seq of miR-183 knockout mouse dorsal root ganglia,GSE110714_Peng_et_al_expression.csv.gz
GSE97090,DCA,read,,length-normalised,18,3.0,18.382,0.458,3.835,1.101,Oprl1,Oprd1,4.793,874.571,1850.42,373.215,37.922,2.947,2.3433,39.823,3.216,53.439,"RNA sequencing of Dorsal Root Ganglia upon axonal injury, in presence or absence of NAC (N-acetyl cysteine), and upon H2O2 nerve treatment",GSE97090_ROSData.FPKMs_2013Anno.txt.gz
GSE97090,H2O,read,,length-normalised,18,3.0,15.959,0.847,3.799,1.092,Oprl1,Oprd1,4.201,860.64,1562.029,374.707,31.557,3.6,2.2968,127.816,6.352,58.088,"RNA sequencing of Dorsal Root Ganglia upon axonal injury, in presence or absence of NAC (N-acetyl cysteine), and upon H2O2 nerve treatment",GSE97090_ROSData.FPKMs_2013Anno.txt.gz
GSE97090,Lam,read,,length-normalised,18,3.0,18.358,0.575,3.248,1.165,Oprl1,Oprd1,5.652,994.634,1362.522,416.564,26.327,4.627,2.3877,17.773,4.096,54.165,"RNA sequencing of Dorsal Root Ganglia upon axonal injury, in presence or absence of NAC (N-acetyl cysteine), and upon H2O2 nerve treatment",GSE97090_ROSData.FPKMs_2013Anno.txt.gz
GSE97090,NAC,read,,length-normalised,18,3.0,10.22,1.388,3.306,0.865,Oprl1,Oprd1,3.091,879.812,1616.632,387.817,30.111,3.705,2.2686,592.636,7.893,115.829,"RNA sequencing of Dorsal Root Ganglia upon axonal injury, in presence or absence of NAC (N-acetyl cysteine), and upon H2O2 nerve treatment",GSE97090_ROSData.FPKMs_2013Anno.txt.gz
GSE97090,SNA,read,,length-normalised,18,3.0,9.891,0.561,1.993,0.822,Oprl1,Oprd1,4.963,829.859,1607.411,390.654,29.379,3.587,2.1243,568.897,6.872,118.559,"RNA sequencing of Dorsal Root Ganglia upon axonal injury, in presence or absence of NAC (N-acetyl cysteine), and upon H2O2 nerve treatment",GSE97090_ROSData.FPKMs_2013Anno.txt.gz
GSE97090,Sham,read,,length-normalised,18,3.0,17.548,1.659,5.686,1.016,Oprl1,Oprd1,3.086,784.032,2374.997,319.618,40.187,3.608,2.453,82.298,5.169,54.363,"RNA sequencing of Dorsal Root Ganglia upon axonal injury, in presence or absence of NAC (N-acetyl cysteine), and upon H2O2 nerve treatment",GSE97090_ROSData.FPKMs_2013Anno.txt.gz
GSE102316,,no matrix,no flat matrix; per-sample RAW archive only,,77,,,,,,,,,,,,,,,,,,Translational Regulation in Initial Stages of the Neuronal Injury Response,
GSE107461,PAN,read,,length-normalised,9,3.0,64.897,0.0,0.023,2.88,Oprl1,Oprk1,22.534,679.644,2702.768,76.717,15.77,0.013,8.8591,1.36,170.82,104.63,Direct reprogramming of spiral ganglion non-neuronal cells into neurons: Towards ameliorating sensorineural hearing loss by gene therapy,GSE107461_srigcf_TPM_Endogenous_DoubleiN_Vector.txt.gz
GSE107461,iN,hold,Snap25 81.41 below 100 CPM,length-normalised,9,3.0,6.227,0.0,0.253,4.063,Oprl1,Oprk1,1.533,81.41,1636.879,666.826,107.65,0.037,0.1221,449.25,565.42,506.636,Direct reprogramming of spiral ganglion non-neuronal cells into neurons: Towards ameliorating sensorineural hearing loss by gene therapy,GSE107461_srigcf_TPM_Endogenous_DoubleiN_Vector.txt.gz
GSE107461,VC,hold,Snap25 0.103 below 100 CPM; Snap25/Plp1 0.000 below 0.05,length-normalised,9,3.0,0.1,0.0,0.0,0.0,Oprl1,Oprm1,inf,0.103,105.223,506.627,89.343,2.457,0.0002,261.167,385.583,500.717,Direct reprogramming of spiral ganglion non-neuronal cells into neurons: Towards ameliorating sensorineural hearing loss by gene therapy,GSE107461_srigcf_TPM_Endogenous_DoubleiN_Vector.txt.gz
GSE102721,,no matrix,no flat matrix; per-sample RAW archive only,,12,,,,,,,,,,,,,,,,,,Mechanistic differences in neuropathic pain modalities revealed by correlating behavior with global expression profiling (RNA-Seq),
GSE107389,,no matrix,no flat matrix; per-sample RAW archive only,,4,,,,,,,,,,,,,,,,,,Distinct roles of Hand2 in developing and adult autonomic neurons,
GSE107182,,no matrix,supplementary listing unavailable (HTTPError),,62,,,,,,,,,,,,,,,,,,Comprehensive analysis of Long non-coding RNA expression in dorsal root ganglion reveals cell type specificity and dysregulation following nerve injury,
GSE107180,,unusable layout,"no gene column, or fewer than 3 sample columns",,30,,,,,,,,,,,,,,,,,,Comprehensive analysis of Long non-coding RNA expression in dorsal root ganglion reveals cell type specificity and dysregulation following nerve injury [rodent DRG],GSE107180_toc_rat_DRG.csv.gz
GSE93308,,no matrix,no flat matrix; per-sample RAW archive only,,10,,,,,,,,,,,,,,,,,,Genome-wide studies of sympathetic neuron development,
GSE103847,,unusable layout,"no gene column, or fewer than 3 sample columns",,15,,,,,,,,,,,,,,,,,,Sympathetic neuron-associated macrophages contribute to obesity by importing and metabolizing norepinephrine,GSE103847_rnaseq_DNA_contamination_removed_rpkm.txt.gz
